valor,codigo
0 a 3,00
0 a 3,01
0 a 3,02
0 a 3,03
4 a 7,04
4 a 7,05
4 a 7,06
4 a 7,07
8 a 10,08
8 a 10,09
8 a 10,10
N Inf,
Ign,99
