valor,codigo
N Inf,
Ignorado,0
Ignorado,1
Ignorado,2
Ignorado,3
Ignorado,4
Ignorado,5
Ignorado,6
Ignorado,7
Ignorado,8
Ignorado,9
Masculino,1
Feminino,2
,
